date,uuid,lat,lng,alt,speed,heading,elapsed,distance
2012-09-02T16:35:17Z,32cc09e69bc042f1ad22fc16ee275e21,37.40534460650588,-122.1086566004883,41.36026763916016,-1,197.3600311279297,0,0
2012-09-02T16:35:23Z,32cc09e69bc042f1ad22fc16ee275e21,37.40777588333334,-122.1034036666667,57.3602237701416,0,197.3614196777344,4.542153000831604,537.6761874522236
2012-09-02T16:35:35Z,32cc09e69bc042f1ad22fc16ee275e21,37.40777588333334,-122.1034036666667,57.3602237701416,0,201.3614196777344,16.81936597824097,537.6761874522236
2012-09-02T21:26:52Z,342ac6fd3f5f44c6b97724d618d587cf,37.3938892,-122.0781871833333,29.36207580566406,0,64.40756225585938,16.81936597824097,0
2012-09-02T21:26:57Z,342ac6fd3f5f44c6b97724d618d587cf,37.3938892,-122.0781871833333,29.36207580566406,0,81.40756225585938,3.6146200299263,0
2012-09-02T21:37:15Z,342ac6fd3f5f44c6b97724d618d587cf,37.39354981666667,-122.0783952,36.36287307739258,0,16.21114349365234,621.6094810366631,41.92923916719541
2012-09-02T21:38:35Z,342ac6fd3f5f44c6b97724d618d587cf,37.39374938333334,-122.0786584166667,31.36275100708008,0,16.21114349365234,701.5098110437393,74.08257135059465
2012-09-02T21:42:09Z,342ac6fd3f5f44c6b97724d618d587cf,37.39356026666667,-122.0784140333333,36.36287117004395,0,16.21114349365234,915.611515045166,104.2296693238044
2012-09-02T21:55:24Z,342ac6fd3f5f44c6b97724d618d587cf,37.39361466666666,-122.07850125,41.36285781860352,0,16.21114349365234,1710.610530018806,114.0326651357039
2012-09-02T21:56:14Z,342ac6fd3f5f44c6b97724d618d587cf,37.3936604,-122.07850445,43.36277389526367,0,16.21114349365234,1760.615839004517,119.1162842134256
2012-09-02T21:57:31Z,342ac6fd3f5f44c6b97724d618d587cf,37.39363769999999,-122.0784216833333,41.36274337768555,0,16.21114349365234,1837.61779999733,126.8662593954049
2012-09-02T21:57:39Z,342ac6fd3f5f44c6b97724d618d587cf,37.39357288333333,-122.0783689166667,36.36280822753906,0,16.21114349365234,1845.616995036602,135.4442293508872
